Rank,Address,City,ST,Zip,Bd/Ba,SqFt,Listed_ARV,Est_Repairs,OPENING_OFFER,Sec_Deposit_5pct(open),MAX_OFFER(MAO),Sec_Deposit_5pct(max),Days_to_Cancel,Days_to_Close,Watchers,Auction_End,URL
41,512 Boxwood Lane,Englewood,FL,34223,2/2,1660,190000,58100,35500,1775,65000,3250,10,30,86,"Tue, Jun 23, 2026 · 9:00 AM",https://federa.com/property/a9ba7b3e-1a8e-45a6-a3a2-750cf3f0783c
42,3131 Juniper Drive,Edgewater,FL,32141,3/2,1560,180000,54600,34000,1700,61500,3075,10,30,81,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/5a6f0939-efb4-4d21-9667-920d57ee3d94
43,1009 E North Bay St,Tampa,FL,33603,3/1,832,140000,29120,32500,1625,59000,2950,10,30,0,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/f8857eb2-8999-4cc6-84b0-d2021ea03564
44,3921 West Cherry Street,Tampa,FL,33607,2/1,864,140000,30240,32000,1600,58000,2900,10,30,113,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/3452714000084238550
45,335 San Gabriel Street,Winter Springs,FL,32708,3/2,1089,150000,38115,31500,1575,57000,2850,10,30,91,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/d0370d84-5505-4187-bb3a-2c7a7943f77c
46,412 Belmont Street,Safety Harbor,FL,34695,2/2,1095,150000,38325,31000,1550,56500,2825,10,30,88,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/dad7eacb-4d20-418d-886e-b98ffaf33f5d
47,8047 Echo Springs Rd,Jacksonville,FL,32256,3/2,1502,170000,52570,31000,1550,56500,2825,10,30,88,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/547471b7-4c9f-48f3-aafd-81f7b263a2da
48,866 Kings Pine Court,Ruskin,FL,33570,4/2,1926,190000,67410,30500,1525,55500,2775,10,30,98,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/0c5ddc44-89e9-426b-a1c9-e54293f3eeef
49,147 Tracy Circle,Haines City,FL,33844,3/2,1753,180000,61355,30000,1500,54500,2725,10,30,78,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/9001ff9c-58af-41da-b8a8-6e37a2121710
50,6608 Northhaven Court,Riverview,FL,33578,3/2,1182,150000,41370,29500,1475,53500,2675,10,30,107,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/19896f10-8420-43af-8800-8b3c313dce6d
51,1810 Pine Oak Trail,Sanford,FL,32773,2/2,1214,150000,42490,29000,1450,52500,2625,10,30,92,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/c871f50f-f68c-4742-8cd5-98186f06bcb8
52,3608 Tam Drive,Orlando,FL,32808,4/2,1463,160000,51205,28000,1400,51000,2550,10,30,85,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/54430e58-fcb7-469a-a4be-bf8c14847158
53,15743 Fairway Heights Boulevard,Miami,FL,33157,3/2,2272,200000,79520,28000,1400,50500,2525,10,30,23,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000062862125
54,5902 Southeast Riverboat Drive,Stuart,FL,34997,2/2,1288,150000,45080,27500,1375,50000,2500,10,30,78,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/12541c0f-959d-42a0-8e9f-bc7472a21713
55,530 Buckshot Ln,Lakeland,FL,33809,3/2,2103,190000,73605,27000,1350,49500,2475,10,30,72,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/bdd43d19-6c8e-4840-9721-6b6a72967b72
56,12717 Woodchuck Way,Hudson,FL,34667,2/2,1176,140000,41160,26000,1300,47000,2350,10,30,94,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/f947e72f-22b5-4183-a345-402ffbf383ee
57,343 Suzanne Dr,Kent,OH,44240,3/2,1988,180000,69580,25500,1275,46500,2325,10,30,108,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/bbdb0ff8-bd6e-42a6-acea-59968fa6bcb5
58,425 Kensington View Drive,Winter Haven,FL,33880,3/2,1604,160000,56140,25000,1250,46000,2300,10,30,78,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/f774ffcd-f2af-4f46-882e-ab0c87a0ec8b
59,750 Concord Lane,Lakeland,FL,33809,3/2,1643,160000,57505,24500,1225,44500,2225,10,30,61,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/07570094-b039-48b6-9dc3-151a3c2c6310
60,8747 Wolf Den Trail,Port Richey,FL,34668,4/2,1851,170000,64785,24500,1225,44000,2200,10,30,107,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/3452714000078944987
61,4817 Mark Way,Bartow,FL,33830,3/2,1320,140000,46200,23000,1150,42000,2100,10,30,72,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/57d0ead4-ed42-4b4b-b3d4-ab5539313f67
62,4601 Anvers Boulevard,Jacksonville,FL,32210,3/2,1131,130000,39585,23000,1150,41500,2075,10,30,100,"Mon, Jun 22, 2026 · 11:00 AM",https://federa.com/property/2af53240-9b86-43b2-bc85-633ccdc80238
63,1341 Florida Avenue,Palm Harbor,FL,34683,3/2,1532,150000,53620,23000,1150,41500,2075,10,30,103,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000073595421
64,1706 Shore Acres Drive,Lakeland,FL,33801,4/2,1535,150000,53725,22500,1125,41500,2075,10,30,81,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/0e196452-1819-4021-936d-9ec555f24705
65,3249 Trask Drive,Holiday,FL,34691,2/2,1156,130000,40460,22500,1125,40500,2025,10,30,94,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/b4f95cd8-3ab0-453c-bc30-91b75fb4656a
66,440 37th Street Northwest,Canton,OH,44709,3/1,1272,133800,44520,21500,1075,39000,1950,10,30,28,"Mon, Jun 22, 2026 · 10:00 AM",https://federa.com/property/b0967d18-9bc0-4fbf-a686-3e55a88417e8
67,1441 Northeast 117th Street,Miami,FL,33161,3/1,1232,130000,43120,21000,1050,38000,1900,10,30,50,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/3452714000082715146
68,1321 Fountainhead Drive,Deltona,FL,32725,3/1,1050,120000,36750,20500,1025,37000,1850,10,30,92,"Tue, Jun 23, 2026 · 11:00 AM",https://federa.com/property/2bf97bb2-f5c6-4be9-8c12-200f4f7ee13d
69,246 Dinner Lake Place,Lake Wales,FL,33859,4/2,1726,150000,60410,19000,950,34500,1725,10,30,79,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/196ce1a7-013f-41f8-8229-b9e57c222c2c
70,1426 Southeast 24th Terrace,Homestead,FL,33035,3/2,1731,150000,60585,19000,950,34500,1725,10,30,85,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/fe6a5c1c-20dd-4cbd-b064-3de0b01cb444
71,5848 Windridge Dr,Winter Haven,FL,33881,4/3,3050,210000,106750,16500,825,30000,1500,10,30,83,"Tue, Jun 23, 2026 · 10:00 AM",https://federa.com/property/3452714000080464713
72,756 Southwest 99th Court Cir,Miami,FL,33174,4/3,1747,140000,61145,15000,750,27000,1350,10,30,25,"Mon, Jun 22, 2026 · 9:00 AM",https://federa.com/property/1f2aa75f-1c20-4393-8675-19246bef7b2a
