"Rank","Equity%","Price","Zestimate","EstSpread","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"335","-3%","150000","145400","-4600","3","1","1005","149","House for sale","3929 Trotter Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/3929-Trotter-Rd-Columbia-SC-29209/11735278_zpid/"
"336","-3%","259000","251000","-8000","2","2","1200","216","House for sale","2201 Kennedy St, Columbia, SC 29205","https://www.zillow.com/homedetails/2201-Kennedy-St-Columbia-SC-29205/11682613_zpid/"
"337","-3%","118000","114300","-3700","2","3","1900","62","Townhouse for sale","1400 Cactus Ave, Columbia, SC 29210","https://www.zillow.com/homedetails/1400-Cactus-Ave-Columbia-SC-29210/11671988_zpid/"
"338","-3%","135000","130500","-4500","3","1","1012","133","House for sale","5525 Randall Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/5525-Randall-Ave-Columbia-SC-29203/11693266_zpid/"
"339","-4%","143000","138100","-4900","3","1","1356","105","House for sale","3408 Belvedere Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/3408-Belvedere-Dr-Columbia-SC-29204/11692686_zpid/"
"340","-4%","235000","226700","-8300","3","2","1700","138","House for sale","647 Delverton Rd, Columbia, SC 29203","https://www.zillow.com/homedetails/647-Delverton-Rd-Columbia-SC-29203/11680281_zpid/"
"341","-4%","149900","144600","-5300","3","1","998","150","House for sale","409 Todd Branch Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/409-Todd-Branch-Dr-Columbia-SC-29223/11728524_zpid/"
"342","-4%","127000","122500","-4500","3","1","1756","72","House for sale","1602 Conestoga Cir, Columbia, SC 29223","https://www.zillow.com/homedetails/1602-Conestoga-Cir-Columbia-SC-29223/11719374_zpid/"
"343","-4%","155000","149500","-5500","2","1","675","230","House for sale","2713 Trull St, Columbia, SC 29204","https://www.zillow.com/homedetails/2713-Trull-St-Columbia-SC-29204/11690350_zpid/"
"344","-4%","124000","119400","-4600","3","1","978","127","House for sale","2112 Academy St, Columbia, SC 29203","https://www.zillow.com/homedetails/2112-Academy-St-Columbia-SC-29203/300045324_zpid/"
"345","-4%","230000","221300","-8700","3","3","1802","128","House for sale","409 Wilkes Rd, Columbia, SC 29203","https://www.zillow.com/homedetails/409-Wilkes-Rd-Columbia-SC-29203/11710435_zpid/"
"346","-4%","190000","182100","-7900","4","3","2208","86","House for sale","516 Lakeside Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/516-Lakeside-Ave-Columbia-SC-29203/11679073_zpid/"
"347","-5%","59900","57100","-2800","3","2","1350","44","Townhouse for sale","4724 Leaf Crest Ct, Columbia, SC 29210","https://www.zillow.com/homedetails/4724-Leaf-Crest-Ct-Columbia-SC-29210/11671907_zpid/"
"348","-5%","229900","218800","-11100","3","2","1568","147","House for sale","5802 McMillan Cir, Columbia, SC 29212","https://www.zillow.com/homedetails/5802-McMillan-Cir-Columbia-SC-29212/11191386_zpid/"
"349","-7%","200000","187300","-12700","4","2","1761","114","House for sale","924 Stebondale Rd, Columbia, SC 29203","https://www.zillow.com/homedetails/924-Stebondale-Rd-Columbia-SC-29203/11692867_zpid/"
"350","-7%","149900","140200","-9700","2","1","1024","146","House for sale","2629 Magnolia St, Columbia, SC 29204","https://www.zillow.com/homedetails/2629-Magnolia-St-Columbia-SC-29204/11689472_zpid/"
"351","-8%","168000","156200","-11800","2","4","1120","150","House for sale","141 Wincay Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/141-Wincay-Rd-Columbia-SC-29223/71270824_zpid/"
"352","-8%","235000","217300","-17700","3","2","1558","151","House for sale","562 Buckhaven Way, Columbia, SC 29229","https://www.zillow.com/homedetails/562-Buckhaven-Way-Columbia-SC-29229/121972270_zpid/"
"353","-14%","249000","218700","-30300","3","1","1135","219","House for sale","1901 Glenwood Rd, Columbia, SC 29204","https://www.zillow.com/homedetails/1901-Glenwood-Rd-Columbia-SC-29204/11705329_zpid/"
"354","-14%","250000","218700","-31300","3","3","1437","174","Townhouse for sale","126 Baysdale Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/126-Baysdale-Dr-Columbia-SC-29229/110227097_zpid/"
"355","-23%","150000","122100","-27900","3","2","1247","120","Townhouse for sale","29 Battery Walk Ct, Columbia, SC 29212","https://www.zillow.com/homedetails/29-Battery-Walk-Ct-Columbia-SC-29212/2101663601_zpid/"
"356","-50%","99000","65800","-33200","3","2","1300","76","Townhouse for sale","385 Hickory Hill Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/385-Hickory-Hill-Dr-Columbia-SC-29210/11671493_zpid/"
"357","-195%","179000","60700","-118300","3","1","840","213","House for sale","2912 Chestnut St, Columbia, SC 29204","https://www.zillow.com/homedetails/2912-Chestnut-St-Columbia-SC-29204/11689279_zpid/"
