"Rank","Equity%","Price","Zestimate","EstSpread","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"79","0%","189900","189300","-600","3","2","1255","151","House for sale","10 Crimson Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/10-Crimson-Ct-Columbia-SC-29229/11733116_zpid/"
"80","0%","219999","219300","-699","3","1","941","234","House for sale","3825 Monroe St, Columbia, SC 29205","https://www.zillow.com/homedetails/3825-Monroe-St-Columbia-SC-29205/11701422_zpid/"
"81","0%","149900","149400","-500","3","1","933","161","House for sale","304 Stanford St, Columbia, SC 29203","https://www.zillow.com/homedetails/304-Stanford-St-Columbia-SC-29203/11694658_zpid/"
"82","0%","299000","298000","-1000","4","3","2064","145","Townhouse for sale","113 Wescott Pl, Columbia, SC 29229","https://www.zillow.com/homedetails/113-Wescott-Pl-Columbia-SC-29229/67616027_zpid/"
"83","0%","265000","264100","-900","3","2","1636","162","House for sale","132 Flora Springs Cir, Columbia, SC 29223","https://www.zillow.com/homedetails/132-Flora-Springs-Cir-Columbia-SC-29223/118550326_zpid/"
"84","0%","293500","292500","-1000","3","2","1607","183","House for sale","517 Windjammer Ln, Columbia, SC 29229","https://www.zillow.com/homedetails/517-Windjammer-Ln-Columbia-SC-29229/121956874_zpid/"
"85","0%","175000","174400","-600","2","1","1032","170","House for sale","400 Summit Townes Way, Columbia, SC 29229","https://www.zillow.com/homedetails/400-Summit-Townes-Way-Columbia-SC-29229/67612225_zpid/"
"86","0%","175000","174400","-600","4","2","1792","98","House for sale","7504 Teague Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/7504-Teague-Rd-Columbia-SC-29209/11726443_zpid/"
"87","0%","174900","174300","-600","3","3","1440","121","House for sale","305 Curvewood Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/305-Curvewood-Rd-Columbia-SC-29229/67615229_zpid/"
"88","0%","200000","199300","-700","2","2","1466","136","House for sale","232 Twin Oaks Ln, Columbia, SC 29209","https://www.zillow.com/homedetails/232-Twin-Oaks-Ln-Columbia-SC-29209/92390151_zpid/"
"89","0%","200000","199300","-700","3","3","1225","163","House for sale","13 Gatewood Way, Columbia, SC 29229","https://www.zillow.com/homedetails/13-Gatewood-Way-Columbia-SC-29229/67615272_zpid/"
"90","0%","199900","199200","-700","3","2","1276","157","House for sale","134 Hester Woods Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/134-Hester-Woods-Dr-Columbia-SC-29223/88012160_zpid/"
"91","0%","165000","164400","-600","3","2","1053","157","House for sale","133 Shoreditch Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/133-Shoreditch-Dr-Columbia-SC-29209/11735457_zpid/"
"92","0%","190000","189300","-700","3","2","1159","164","House for sale","1033 Rabon Pond Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/1033-Rabon-Pond-Dr-Columbia-SC-29223/110215462_zpid/"
"93","0%","189900","189200","-700","3","3","1450","131","Townhouse for sale","10 Trentridge Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/10-Trentridge-Ct-Columbia-SC-29229/67615246_zpid/"
"94","0%","215000","214200","-800","4","3","1910","113","House for sale","1253 Rabon Pond Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/1253-Rabon-Pond-Dr-Columbia-SC-29223/121966459_zpid/"
"95","0%","199999","199200","-799","3","3","1428","140","Townhouse for sale","828 Yellow Swan Ln, Columbia, SC 29210","https://www.zillow.com/homedetails/828-Yellow-Swan-Ln-Columbia-SC-29210/350774597_zpid/"
"96","0%","199000","198200","-800","3","3","1776","112","House for sale","125 N Lake Pointe Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/125-N-Lake-Pointe-Dr-Columbia-SC-29229/11738333_zpid/"
"97","0%","270000","268900","-1100","3","3","1607","168","House for sale","64 Salers Ln, Columbia, SC 29209","https://www.zillow.com/homedetails/64-Salers-Ln-Columbia-SC-29209/300048363_zpid/"
"98","0%","270000","268900","-1100","3","3","1704","158","House for sale","16 Sessile Ct, Columbia, SC 29203","https://www.zillow.com/homedetails/16-Sessile-Ct-Columbia-SC-29203/370670869_zpid/"
"99","0%","215000","214100","-900","2","2","1194","180","House for sale","203 Autumn Run Cir, Columbia, SC 29229","https://www.zillow.com/homedetails/203-Autumn-Run-Cir-Columbia-SC-29229/61363812_zpid/"
"100","0%","167000","166300","-700","2","3","1465","114","Townhouse for sale","414 Angel Grove Ln, Columbia, SC 29210","https://www.zillow.com/homedetails/414-Angel-Grove-Ln-Columbia-SC-29210/309259926_zpid/"
"101","0%","234900","233900","-1000","4","3","2364","99","House for sale","613 Heron Glen Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/613-Heron-Glen-Dr-Columbia-SC-29229/81036526_zpid/"
"102","0%","254900","253800","-1100","3","3","1763","145","House for sale","225 Fernview Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/225-Fernview-Dr-Columbia-SC-29229/11741303_zpid/"
"103","0%","299000","297700","-1300","4","3","2673","112","House for sale","1005 Wildwood Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/1005-Wildwood-Ave-Columbia-SC-29203/300044451_zpid/"
"104","0%","299000","297700","-1300","3","3","2008","149","House for sale","626 Harbour Pointe Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/626-Harbour-Pointe-Dr-Columbia-SC-29229/88002035_zpid/"
"105","0%","205000","204100","-900","3","2","1397","147","House for sale","3624 Harrogate Rd, Columbia, SC 29210","https://www.zillow.com/homedetails/3624-Harrogate-Rd-Columbia-SC-29210/11201466_zpid/"
"106","0%","249000","247900","-1100","3","2","1477","169","House for sale","499 Glacier Way, Columbia, SC 29229","https://www.zillow.com/homedetails/499-Glacier-Way-Columbia-SC-29229/121967777_zpid/"
"107","0%","90000","89600","-400","3","1","1112","81","House for sale","431 Pineneedle Rd, Columbia, SC 29203","https://www.zillow.com/homedetails/431-Pineneedle-Rd-Columbia-SC-29203/11678269_zpid/"
"108","0%","180000","179200","-800","2","2","1120","161","House for sale","106 Avebury Ln, Columbia, SC 29229","https://www.zillow.com/homedetails/106-Avebury-Ln-Columbia-SC-29229/61363666_zpid/"
"109","0%","223000","222000","-1000","3","3","1609","139","House for sale","213 Elders Pond Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/213-Elders-Pond-Dr-Columbia-SC-29229/55194312_zpid/"
"110","0%","245000","243900","-1100","4","3","1726","142","House for sale","2776 Prince Charles Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/2776-Prince-Charles-Ct-Columbia-SC-29209/2060374317_zpid/"
"111","0%","154900","154200","-700","3","1","1003","154","House for sale","3821 Trotter Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/3821-Trotter-Rd-Columbia-SC-29209/11735287_zpid/"
"112","0%","265000","263800","-1200","4","3","2568","103","House for sale","231 Gayle Pond Trce, Columbia, SC 29209","https://www.zillow.com/homedetails/231-Gayle-Pond-Trce-Columbia-SC-29209/67608957_zpid/"
"113","0%","219000","218000","-1000","3","2","1150","190","House for sale","3652 Hoyt St, Columbia, SC 29223","https://www.zillow.com/homedetails/3652-Hoyt-St-Columbia-SC-29223/11711720_zpid/"
"114","0%","239000","237900","-1100","3","2","1383","173","House for sale","245 Piney Grove Rd, Columbia, SC 29210","https://www.zillow.com/homedetails/245-Piney-Grove-Rd-Columbia-SC-29210/2135854636_zpid/"
"115","0%","259000","257800","-1200","3","3","1684","154","House for sale","104 Talltree Ln, Columbia, SC 29229","https://www.zillow.com/homedetails/104-Talltree-Ln-Columbia-SC-29229/52114815_zpid/"
"116","0%","215000","214000","-1000","3","2","1195","180","House for sale","276 Oberlin Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/276-Oberlin-Rd-Columbia-SC-29212/11195560_zpid/"
"117","0%","149900","149200","-700","3","1","890","168","House for sale","338 Bowling Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/338-Bowling-Ave-Columbia-SC-29203/11694967_zpid/"
"118","0%","192000","191100","-900","3","2","1174","164","House for sale","4223 Woodridge Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/4223-Woodridge-Dr-Columbia-SC-29203/67611754_zpid/"
"119","0%","170000","169200","-800","3","1","1110","153","House for sale","1522 Hibiscus St, Columbia, SC 29205","https://www.zillow.com/homedetails/1522-Hibiscus-St-Columbia-SC-29205/11698384_zpid/"
"120","0%","210000","209000","-1000","2","2","1121","187","House for sale","417 White Cedar Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/417-White-Cedar-Dr-Columbia-SC-29229/92390878_zpid/"
"121","0%","165000","164200","-800","3","2","1140","145","House for sale","940 Rosedale Arch, Columbia, SC 29203","https://www.zillow.com/homedetails/940-Rosedale-Arch-Columbia-SC-29203/11693043_zpid/"
"122","0%","164900","164100","-800","3","1","1093","151","House for sale","1734 Nearview Ave, Columbia, SC 29223","https://www.zillow.com/homedetails/1734-Nearview-Ave-Columbia-SC-29223/11726923_zpid/"
"123","0%","164900","164100","-800","2","1","924","178","House for sale","5225 Two Notch Rd, Columbia, SC 29204","https://www.zillow.com/homedetails/5225-Two-Notch-Rd-Columbia-SC-29204/300045661_zpid/"
"124","-1%","198000","197000","-1000","3","2","1170","169","House for sale","117 Lambeth Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/117-Lambeth-Dr-Columbia-SC-29209/11735373_zpid/"
"125","-1%","290000","288500","-1500","4","3","2036","142","House for sale","628 Ridge Trail Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/628-Ridge-Trail-Dr-Columbia-SC-29229/11741251_zpid/"
"126","-1%","250000","248700","-1300","3","2","1855","135","House for sale","9829 Highgate Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/9829-Highgate-Rd-Columbia-SC-29223/11729028_zpid/"
"127","-1%","190000","189000","-1000","3","3","1418","134","House for sale","120 Curvewood Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/120-Curvewood-Rd-Columbia-SC-29229/67615255_zpid/"
"128","-1%","265000","263600","-1400","3","3","1703","156","House for sale","249 Knight Valley Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/249-Knight-Valley-Cir-Columbia-SC-29209/121953731_zpid/"
"129","-1%","282500","281000","-1500","4","3","2036","139","House for sale","146 Brook Hollow Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/146-Brook-Hollow-Dr-Columbia-SC-29229/11731935_zpid/"
"130","-1%","239000","237700","-1300","2","1","725","330","House for sale","3844 Wilmot Ave, Columbia, SC 29205","https://www.zillow.com/homedetails/3844-Wilmot-Ave-Columbia-SC-29205/11701564_zpid/"
"131","-1%","219800","218600","-1200","3","1","1312","168","House for sale","2930 English Ave, Columbia, SC 29204","https://www.zillow.com/homedetails/2930-English-Ave-Columbia-SC-29204/11691877_zpid/"
"132","-1%","237500","236200","-1300","3","3","1376","173","House for sale","134 Palmetto Park Cir, Columbia, SC 29229","https://www.zillow.com/homedetails/134-Palmetto-Park-Cir-Columbia-SC-29229/81048440_zpid/"
"133","-1%","199900","198800","-1100","3","3","1320","151","House for sale","304 Glen Knoll Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/304-Glen-Knoll-Dr-Columbia-SC-29229/67601586_zpid/"
"134","-1%","199000","197900","-1100","3","2","1109","179","House for sale","316 Legend Oaks Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/316-Legend-Oaks-Dr-Columbia-SC-29229/88011611_zpid/"
"135","-1%","198000","196900","-1100","3","3","1493","133","House for sale","106 Rolling Knoll Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/106-Rolling-Knoll-Dr-Columbia-SC-29229/11733049_zpid/"
"136","-1%","213000","211800","-1200","3","2","1345","158","Townhouse for sale","20 Shuler Cir, Columbia, SC 29212","https://www.zillow.com/homedetails/20-Shuler-Cir-Columbia-SC-29212/11190564_zpid/"
"137","-1%","229900","228600","-1300","4","3","1708","135","House for sale","1246 Rabon Pond Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/1246-Rabon-Pond-Dr-Columbia-SC-29223/121967131_zpid/"
"138","-1%","299900","298200","-1700","4","3","2459","122","House for sale","135 Waterville Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/135-Waterville-Dr-Columbia-SC-29229/67616295_zpid/"
"139","-1%","299000","297300","-1700","4","3","2180","137","House for sale","1115 Belmont Green Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/1115-Belmont-Green-Rd-Columbia-SC-29209/2058639858_zpid/"
"140","-1%","174900","173900","-1000","2","2","1468","119","Townhouse for sale","14 Shadow Creek Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/14-Shadow-Creek-Ct-Columbia-SC-29209/11734844_zpid/"
"141","-1%","174500","173500","-1000","3","3","1520","115","Townhouse for sale","80 N Lake Pointe Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/80-N-Lake-Pointe-Dr-Columbia-SC-29229/11738301_zpid/"
"142","-1%","154900","154000","-900","3","2","1176","132","House for sale","326 Rockingham Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/326-Rockingham-Rd-Columbia-SC-29223/11730236_zpid/"
"143","-1%","240000","238600","-1400","3","2","1630","147","House for sale","308 Algrave Way, Columbia, SC 29229","https://www.zillow.com/homedetails/308-Algrave-Way-Columbia-SC-29229/67616278_zpid/"
"144","-1%","240000","238600","-1400","4","3","1652","145","House for sale","1311 Waverly Place Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/1311-Waverly-Place-Dr-Columbia-SC-29229/67611999_zpid/"
"145","-1%","205000","203800","-1200","2","2","1348","152","House for sale","205 Twin Oaks Ln, Columbia, SC 29209","https://www.zillow.com/homedetails/205-Twin-Oaks-Ln-Columbia-SC-29209/55194647_zpid/"
"146","-1%","235000","233600","-1400","3","2","1248","188","House for sale","58 Crossvine Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/58-Crossvine-Ct-Columbia-SC-29229/88003016_zpid/"
"147","-1%","200000","198800","-1200","3","2","768","260","House for sale","935 Eastman St, Columbia, SC 29203","https://www.zillow.com/homedetails/935-Eastman-St-Columbia-SC-29203/11693735_zpid/"
"148","-1%","200000","198800","-1200","3","2","1254","159","House for sale","25 Saint Andrews Place Ct, Columbia, SC 29210","https://www.zillow.com/homedetails/25-Saint-Andrews-Place-Ct-Columbia-SC-29210/121968885_zpid/"
"149","-1%","232000","230600","-1400","3","2","1355","171","House for sale","367 Marshdeer Way, Columbia, SC 29229","https://www.zillow.com/homedetails/367-Marshdeer-Way-Columbia-SC-29229/88007997_zpid/"
"150","-1%","137150","136300","-850","3","1","1025","134","House for sale","1146 Castle Pinckney Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/1146-Castle-Pinckney-Rd-Columbia-SC-29223/11719498_zpid/"
"151","-1%","249750","248200","-1550","3","3","1320","189","House for sale","316 E Waverly Place Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/316-E-Waverly-Place-Ct-Columbia-SC-29229/67612042_zpid/"
"152","-1%","290000","288200","-1800","5","3","2368","122","House for sale","2025 Elmridge Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/2025-Elmridge-Rd-Columbia-SC-29209/445790488_zpid/"
"153","-1%","290000","288200","-1800","3","3","2737","106","House for sale","429 Indigo Ridge Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/429-Indigo-Ridge-Dr-Columbia-SC-29229/88012709_zpid/"
"154","-1%","240000","238500","-1500","3","2","1287","186","House for sale","6 Woodlands Ridge Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/6-Woodlands-Ridge-Ct-Columbia-SC-29229/67597998_zpid/"
"155","-1%","189900","188700","-1200","3","2","1877","101","House for sale","320 Folkstone Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/320-Folkstone-Rd-Columbia-SC-29223/11722558_zpid/"
"156","-1%","269000","267300","-1700","4","3","1925","140","House for sale","570 Kimpton Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/570-Kimpton-Dr-Columbia-SC-29223/246224662_zpid/"
"157","-1%","204900","203600","-1300","4","2","1702","120","House for sale","5 Larkin Ct, Columbia, SC 29203","https://www.zillow.com/homedetails/5-Larkin-Ct-Columbia-SC-29203/11681489_zpid/"
"158","-1%","219000","217600","-1400","3","3","1450","151","House for sale","104 Rolling Knoll Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/104-Rolling-Knoll-Dr-Columbia-SC-29229/11733050_zpid/"
"159","-1%","249900","248300","-1600","3","2","1800","139","House for sale","217 S Shields Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/217-S-Shields-Rd-Columbia-SC-29223/11729439_zpid/"
"160","-1%","279900","278100","-1800","3","2","1425","196","House for sale","389 Northwood St, Columbia, SC 29201","https://www.zillow.com/homedetails/389-Northwood-St-Columbia-SC-29201/67615595_zpid/"
"161","-1%","247000","245400","-1600","3","2","1956","126","House for sale","398 Fox Squirrel Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/398-Fox-Squirrel-Cir-Columbia-SC-29209/88012426_zpid/"
"162","-1%","185000","183800","-1200","4","2","1916","97","House for sale","3905 Lamar St, Columbia, SC 29203","https://www.zillow.com/homedetails/3905-Lamar-St-Columbia-SC-29203/11678735_zpid/"
"163","-1%","185000","183800","-1200","3","2","1831","101","House for sale","1009 Gardendale Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/1009-Gardendale-Dr-Columbia-SC-29210/11201130_zpid/"
"164","-1%","224999","223500","-1499","3","2","1298","173","House for sale","212 Kendrick Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/212-Kendrick-Rd-Columbia-SC-29229/55194224_zpid/"
"165","-1%","225000","223500","-1500","3","3","1608","140","House for sale","1683 Rabon Farms Ln, Columbia, SC 29223","https://www.zillow.com/homedetails/1683-Rabon-Farms-Ln-Columbia-SC-29223/121966583_zpid/"
"166","-1%","179900","178700","-1200","2","2","1092","165","House for sale","8 Hampton Oaks Pl, Columbia, SC 29212","https://www.zillow.com/homedetails/8-Hampton-Oaks-Pl-Columbia-SC-29212/55192880_zpid/"
"167","-1%","235000","233400","-1600","3","2","1394","169","House for sale","875 Killian Station Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/875-Killian-Station-Dr-Columbia-SC-29229/88008765_zpid/"
"168","-1%","275000","273100","-1900","3","2","1837","150","House for sale","1700 N Woodstream Rd, Columbia, SC 29212","https://www.zillow.com/homedetails/1700-N-Woodstream-Rd-Columbia-SC-29212/11191584_zpid/"
"169","-1%","230000","228400","-1600","3","2","1688","136","House for sale","1531 Alma Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/1531-Alma-Rd-Columbia-SC-29209/11715547_zpid/"
"170","-1%","169900","168700","-1200","3","2","1105","154","House for sale","126 Village Walk, Columbia, SC 29209","https://www.zillow.com/homedetails/126-Village-Walk-Columbia-SC-29209/11715751_zpid/"
"171","-1%","169000","167800","-1200","3","3","1560","108","Townhouse for sale","1155 Cloister Pl, Columbia, SC 29210","https://www.zillow.com/homedetails/1155-Cloister-Pl-Columbia-SC-29210/11670733_zpid/"
"172","-1%","280000","278000","-2000","4","3","2166","129","House for sale","554 Wilkinson Ln, Columbia, SC 29229","https://www.zillow.com/homedetails/554-Wilkinson-Ln-Columbia-SC-29229/92386868_zpid/"
"173","-1%","209900","208400","-1500","3","2","1476","142","House for sale","804 Winslow Way, Columbia, SC 29229","https://www.zillow.com/homedetails/804-Winslow-Way-Columbia-SC-29229/11732612_zpid/"
"174","-1%","193500","192100","-1400","3","2","1440","134","Townhouse for sale","218 Gate Post Ln, Columbia, SC 29223","https://www.zillow.com/homedetails/218-Gate-Post-Ln-Columbia-SC-29223/67601632_zpid/"
"175","-1%","289000","286900","-2100","4","2","1568","184","House for sale","6506 Christie Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/6506-Christie-Rd-Columbia-SC-29209/11714398_zpid/"
"176","-1%","165000","163800","-1200","2","2","1268","130","Townhouse for sale","408 Summit Townes Way, Columbia, SC 29229","https://www.zillow.com/homedetails/408-Summit-Townes-Way-Columbia-SC-29229/62990812_zpid/"
"177","-1%","165000","163800","-1200","3","1","1105","149","House for sale","2021 Morninglo Ln, Columbia, SC 29223","https://www.zillow.com/homedetails/2021-Morninglo-Ln-Columbia-SC-29223/11726986_zpid/"
"178","-1%","190000","188600","-1400","3","1","1559","122","House for sale","3815 Webb Ct, Columbia, SC 29204","https://www.zillow.com/homedetails/3815-Webb-Ct-Columbia-SC-29204/11692772_zpid/"
"179","-1%","257500","255600","-1900","3","2","1549","166","House for sale","5204 Glenmount St, Columbia, SC 29212","https://www.zillow.com/homedetails/5204-Glenmount-St-Columbia-SC-29212/11190794_zpid/"
"180","-1%","279900","277800","-2100","4","3","2363","118","House for sale","178 Vermillion Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/178-Vermillion-Dr-Columbia-SC-29209/92393922_zpid/"
"181","-1%","119900","119000","-900","2","1","883","136","House for sale","517 Johnson Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/517-Johnson-Ave-Columbia-SC-29203/11677971_zpid/"
"182","-1%","265000","263000","-2000","3","3","1698","156","House for sale","118 Long Ridge Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/118-Long-Ridge-Dr-Columbia-SC-29229/11740867_zpid/"
"183","-1%","184000","182600","-1400","3","3","1655","111","Townhouse for sale","161 Jefferson Pl, Columbia, SC 29212","https://www.zillow.com/homedetails/161-Jefferson-Pl-Columbia-SC-29212/11192236_zpid/"
"184","-1%","210000","208400","-1600","2","2","1225","171","House for sale","19 Autumn Run Way, Columbia, SC 29229","https://www.zillow.com/homedetails/19-Autumn-Run-Way-Columbia-SC-29229/55195435_zpid/"
"185","-1%","249000","247100","-1900","3","2","1695","147","House for sale","409 Sheridan Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/409-Sheridan-Dr-Columbia-SC-29223/11730955_zpid/"
"186","-1%","182000","180600","-1400","2","2","1092","167","House for sale","130 Thorn Tree Ln, Columbia, SC 29212","https://www.zillow.com/homedetails/130-Thorn-Tree-Ln-Columbia-SC-29212/61363201_zpid/"
"187","-1%","194900","193400","-1500","3","2","1548","126","House for sale","121 Moone Cross Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/121-Moone-Cross-Dr-Columbia-SC-29209/11735977_zpid/"
"188","-1%","154900","153700","-1200","3","3","1260","123","House for sale","527 Summit Terrace Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/527-Summit-Terrace-Ct-Columbia-SC-29229/71270983_zpid/"
"189","-1%","154900","153700","-1200","3","2","1119","138","House for sale","320 Sawtimber Ln, Columbia, SC 29209","https://www.zillow.com/homedetails/320-Sawtimber-Ln-Columbia-SC-29209/11735885_zpid/"
"190","-1%","244900","243000","-1900","3","2","1502","163","House for sale","231 Sparkleberry Ln, Columbia, SC 29229","https://www.zillow.com/homedetails/231-Sparkleberry-Ln-Columbia-SC-29229/11738035_zpid/"
"191","-1%","179900","178500","-1400","2","4","1092","165","House for sale","125 Deer Hound Trl, Columbia, SC 29223","https://www.zillow.com/homedetails/125-Deer-Hound-Trl-Columbia-SC-29223/55194906_zpid/"
"192","-1%","229900","228100","-1800","4","3","1828","126","House for sale","184 Springway Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/184-Springway-Dr-Columbia-SC-29209/61363414_zpid/"
"193","-1%","299900","297500","-2400","4","3","2515","119","House for sale","10 Mystic Way Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/10-Mystic-Way-Dr-Columbia-SC-29229/11741168_zpid/"
"194","-1%","199900","198300","-1600","3","2","1398","143","Townhouse for sale","200 Gate Post Ln, Columbia, SC 29223","https://www.zillow.com/homedetails/200-Gate-Post-Ln-Columbia-SC-29223/67601625_zpid/"
"195","-1%","224000","222200","-1800","3","3","1490","150","Townhouse for sale","23 Braiden Manor Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/23-Braiden-Manor-Rd-Columbia-SC-29209/88003960_zpid/"
"196","-1%","209900","208200","-1700","3","3","1776","118","House for sale","2039 Cheltenham Ln, Columbia, SC 29223","https://www.zillow.com/homedetails/2039-Cheltenham-Ln-Columbia-SC-29223/11727454_zpid/"
"197","-1%","259000","256900","-2100","3","3","1560","166","House for sale","232 Fernview Dr, Columbia, SC 29229","https://www.zillow.com/homedetails/232-Fernview-Dr-Columbia-SC-29229/11741234_zpid/"
"198","-1%","169000","167600","-1400","3","1","1080","156","House for sale","1124 Robin Nest Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/1124-Robin-Nest-Rd-Columbia-SC-29223/11719517_zpid/"
"199","-1%","204900","203200","-1700","3","2","1555","132","House for sale","6740 Frances St, Columbia, SC 29209","https://www.zillow.com/homedetails/6740-Frances-St-Columbia-SC-29209/11714995_zpid/"
"200","-1%","179000","177500","-1500","3","2","1076","166","House for sale","1513 Alpha Ct, Columbia, SC 29223","https://www.zillow.com/homedetails/1513-Alpha-Ct-Columbia-SC-29223/11726849_zpid/"
"201","-1%","154900","153600","-1300","3","1","1275","121","House for sale","7528 Terry St, Columbia, SC 29209","https://www.zillow.com/homedetails/7528-Terry-St-Columbia-SC-29209/11724287_zpid/"
"202","-1%","174900","173400","-1500","3","2","1422","123","House for sale","3915 Pearl St, Columbia, SC 29203","https://www.zillow.com/homedetails/3915-Pearl-St-Columbia-SC-29203/11676265_zpid/"
"203","-1%","299900","297300","-2600","4","3","2450","122","House for sale","7818 Exeter Ln, Columbia, SC 29223","https://www.zillow.com/homedetails/7818-Exeter-Ln-Columbia-SC-29223/11720655_zpid/"
"204","-1%","269000","266600","-2400","4","2","1657","162","House for sale","116 Clay Ridge Rd, Columbia, SC 29223","https://www.zillow.com/homedetails/116-Clay-Ridge-Rd-Columbia-SC-29223/71257693_zpid/"
"205","-1%","200000","198200","-1800","3","3","1488","134","House for sale","226 Curvewood Rd, Columbia, SC 29229","https://www.zillow.com/homedetails/226-Curvewood-Rd-Columbia-SC-29229/67615913_zpid/"
"206","-1%","209900","208000","-1900","4","3","2068","101","House for sale","708 Wilmette Rd, Columbia, SC 29203","https://www.zillow.com/homedetails/708-Wilmette-Rd-Columbia-SC-29203/11695922_zpid/"
"207","-1%","279000","276400","-2600","3","1","1104","253","House for sale","3714 Hydrangea St, Columbia, SC 29205","https://www.zillow.com/homedetails/3714-Hydrangea-St-Columbia-SC-29205/11698385_zpid/"
"208","-1%","214000","212000","-2000","3","3","1470","146","House for sale","149 Angel Garden Way, Columbia, SC 29223","https://www.zillow.com/homedetails/149-Angel-Garden-Way-Columbia-SC-29223/92396392_zpid/"
"209","-1%","299000","296200","-2800","5","3","2390","125","House for sale","146 Dunham Rd, Columbia, SC 29209","https://www.zillow.com/homedetails/146-Dunham-Rd-Columbia-SC-29209/2061751134_zpid/"
"210","-1%","159900","158400","-1500","3","1","1100","145","House for sale","306 Charleswood Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/306-Charleswood-Dr-Columbia-SC-29223/11722501_zpid/"
"211","-1%","254000","251600","-2400","3","3","1770","144","House for sale","376 Eastfair Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/376-Eastfair-Dr-Columbia-SC-29209/121819293_zpid/"
"212","-1%","200000","198100","-1900","4","2","1293","155","House for sale","6006 McMillan Cir, Columbia, SC 29212","https://www.zillow.com/homedetails/6006-McMillan-Cir-Columbia-SC-29212/11191370_zpid/"
"213","-1%","229900","227700","-2200","3","2","1498","153","House for sale","1622 Crestview Ave, Columbia, SC 29223","https://www.zillow.com/homedetails/1622-Crestview-Ave-Columbia-SC-29223/11720527_zpid/"
"214","-1%","239900","237600","-2300","2","2","1542","156","House for sale","40 Brooksby Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/40-Brooksby-Ct-Columbia-SC-29209/88001243_zpid/"
