"Rank","Signal","Equity%","DaysOnMkt","Price","Zestimate","Beds","Baths","SqFt","PPSF","Type","Address","ZillowURL"
"47","53d","8%","53","109900","118900","4","2","1154","95","House for sale","4137 Shorecrest Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/4137-Shorecrest-Dr-Columbia-SC-29209/11697075_zpid/"
"48","STALE 68d","n/a","68","170000","","4","2","1100","155","For sale by owner","217 Aster Cir, Columbia, SC 29201","https://www.zillow.com/homedetails/217-Aster-Cir-Columbia-SC-29201/11697475_zpid/"
"49","STALE 68d","-1%","68","280000","276300","3","2","2030","138","House for sale","112 Chippenham Cir, Columbia, SC 29210","https://www.zillow.com/homedetails/112-Chippenham-Cir-Columbia-SC-29210/11196626_zpid/"
"50","STALE 67d","n/a","67","242000","","3","3","1801","134","House for sale","254 Sorrel Tree Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/254-Sorrel-Tree-Dr-Columbia-SC-29223/461554622_zpid/"
"51","STALE 67d","-1%","67","184900","182700","2","1","1020","181","House for sale","1201 Sycamore Ave, Columbia, SC 29203","https://www.zillow.com/homedetails/1201-Sycamore-Ave-Columbia-SC-29203/11679597_zpid/"
"52","STALE 66d","n/a","66","285000","","3","2","2285","125","House for sale","2350 Center St, Columbia, SC 29204","https://www.zillow.com/homedetails/2350-Center-St-Columbia-SC-29204/11689411_zpid/"
"53","STALE 66d","0%","66","194900","194300","3","2","1276","153","House for sale","351 Elders Pond Cir, Columbia, SC 29229","https://www.zillow.com/homedetails/351-Elders-Pond-Cir-Columbia-SC-29229/71270894_zpid/"
"54","STALE 66d","-1%","66","204900","203200","3","2","1555","132","House for sale","6740 Frances St, Columbia, SC 29209","https://www.zillow.com/homedetails/6740-Frances-St-Columbia-SC-29209/11714995_zpid/"
"55","STALE 66d","-1%","66","277000","273600","3","2","1484","187","House for sale","9 Twin Oaks Cir, Columbia, SC 29209","https://www.zillow.com/homedetails/9-Twin-Oaks-Cir-Columbia-SC-29209/11734927_zpid/"
"56","STALE 65d","-1%","65","154900","153600","3","1","1275","121","House for sale","7528 Terry St, Columbia, SC 29209","https://www.zillow.com/homedetails/7528-Terry-St-Columbia-SC-29209/11724287_zpid/"
"57","STALE 65d","-1%","65","195000","192900","3","1","1034","189","House for sale","2530 Marling Dr, Columbia, SC 29204","https://www.zillow.com/homedetails/2530-Marling-Dr-Columbia-SC-29204/11690118_zpid/"
"58","STALE 65d","-1%","65","260000","256900","4","3","2764","94","House for sale","1960 Drexel Lake Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/1960-Drexel-Lake-Dr-Columbia-SC-29223/11727621_zpid/"
"59","STALE 65d","-2%","65","179000","176000","3","2","1032","173","House for sale","219 Dixon Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/219-Dixon-Dr-Columbia-SC-29203/11712156_zpid/"
"60","STALE 67d","-7%","67","200000","187300","4","2","1761","114","House for sale","924 Stebondale Rd, Columbia, SC 29203","https://www.zillow.com/homedetails/924-Stebondale-Rd-Columbia-SC-29203/11692867_zpid/"
"61","STALE 65d","-2%","65","144900","141900","4","2","1570","92","House for sale","137 Green Tree Dr, Columbia, SC 29203","https://www.zillow.com/homedetails/137-Green-Tree-Dr-Columbia-SC-29203/11695625_zpid/"
"62","STALE 64d","-1%","64","198000","197000","3","2","1170","169","House for sale","117 Lambeth Dr, Columbia, SC 29209","https://www.zillow.com/homedetails/117-Lambeth-Dr-Columbia-SC-29209/11735373_zpid/"
"63","STALE 64d","-4%","64","149900","144600","3","1","998","150","House for sale","409 Todd Branch Dr, Columbia, SC 29223","https://www.zillow.com/homedetails/409-Todd-Branch-Dr-Columbia-SC-29223/11728524_zpid/"
"64","STALE 62d","n/a","62","117500","","3","1","977","120","House for sale","7626 Terry St, Columbia, SC 29209","https://www.zillow.com/homedetails/7626-Terry-St-Columbia-SC-29209/11724583_zpid/"
"65","STALE 62d","-1%","62","239900","237600","2","2","1542","156","House for sale","40 Brooksby Ct, Columbia, SC 29209","https://www.zillow.com/homedetails/40-Brooksby-Ct-Columbia-SC-29209/88001243_zpid/"
"66","51d","4%","51","219900","229200","3","3","1850","119","House for sale","6 Elders Pond Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/6-Elders-Pond-Ct-Columbia-SC-29229/55194323_zpid/"
"67","59d","n/a","59","206500","","3","3","1428","145","Townhouse for sale","729 Wild Duck Ln, Columbia, SC 29210","https://www.zillow.com/homedetails/729-Wild-Duck-Ln-Columbia-SC-29210/344784731_zpid/"
"68","54d","2%","54","300000","307300","3","2","1671","180","House for sale","1002 Benton St, Columbia, SC 29201","https://www.zillow.com/homedetails/1002-Benton-St-Columbia-SC-29201/11676985_zpid/"
"69","59d","-1%","59","185000","183800","3","2","1831","101","House for sale","1009 Gardendale Dr, Columbia, SC 29210","https://www.zillow.com/homedetails/1009-Gardendale-Dr-Columbia-SC-29210/11201130_zpid/"
"70","59d","-2%","59","280000","274600","3","2","2029","138","House for sale","3944 Hickory St, Columbia, SC 29205","https://www.zillow.com/homedetails/3944-Hickory-St-Columbia-SC-29205/11698869_zpid/"
"71","58d","0%","58","154900","154900","3","3","1260","123","House for sale","515 Summit Terrace Ct, Columbia, SC 29229","https://www.zillow.com/homedetails/515-Summit-Terrace-Ct-Columbia-SC-29229/71270977_zpid/"
"72","58d","0%","58","227500","227200","4","2","2456","93","House for sale","1925 Shadowood Dr, Columbia, SC 29212","https://www.zillow.com/homedetails/1925-Shadowood-Dr-Columbia-SC-29212/11192597_zpid/"
